Ano,SEMESTRE,NUM_MES,MES,SEM_Ano,L-A_PAX_MOV,L-B_PAX_MOV,L-K_PAX_MOV,L-J_PAX_MOV,L-H_PAX_MOV,L-M_PAX_MOV,L-L_PAX_MOV,L-TA_PAX_MOV,L-1_PAX_MOV,L-2_PAX_MOV,C-3_PAX_MOV,C6_PAX_MOV,LINEA_O,Ano_MES,ORDEN,Clima,Evento
2014,1,,,2014-sem I,492.314,83.467,19.904,12.871,0.0,0.0,0.0,0.0,65.415,12.771,16.353,25.731,,2014-sem I,1,Desconocido,Ningun evento importante
2014,2,,,2014-sem II,534.792,88.119,20.417,13.423,0.0,0.0,0.0,0.0,67.496,13.557,17.644,32.058,,2014-sem II,2,Desconocido,Ningun evento importante
2015,1,,,2015-sem I,548.318,92.097,20.774,13.716,0.0,0.0,0.0,0.0,69.039,13.153,18.015,33.351,,2015-sem I,3,Desconocido,Ningun evento importante
2015,2,,,2015-sem II,586.593,95.698,21.71,14.74,0.0,0.0,0.0,0.0,71.99,13.008,20.108,36.913,,2015-sem II,4,Desconocido,Ningun evento importante
2016,1,1.0,enero,2016-sem I,550.479,83.878,21.509,13.408,0.0,0.0,3.872,0.0,96.414,13.899,28.282,58.51,,2016-ene,5,Seco,Vacaciones
2016,1,2.0,febrero,2016-sem I,611.234,95.485,20.847,14.257,0.0,0.0,1.671,0.0,114.717,15.601,33.688,67.466,,2016-feb,6,Seco,Ningun evento importante
2016,1,3.0,marzo,2016-sem I,607.888,94.935,21.443,14.232,0.0,0.0,1.96,10.487,112.813,15.556,33.828,67.484,,2016-mar,7,Lluvia,Ningun evento importante
2016,1,4.0,abril,2016-sem I,586.703,91.214,19.898,13.796,0.0,0.0,1.29,13.326,115.889,15.706,34.017,68.901,,2016-abr,8,Lluvia,Ningun evento importante
2016,1,5.0,mayo,2016-sem I,627.978,97.213,21.491,14.618,0.0,0.0,1.417,17.38,115.07,15.91,34.784,69.625,,2016-may,9,Lluvia,Ningun evento importante
2016,1,6.0,junio,2016-sem I,607.357,92.999,21.611,13.916,0.0,0.0,2.637,17.989,106.659,15.055,32.143,66.948,,2016-jun,10,Seco,Ningun evento importante
2016,2,7.0,julio,2016-sem II,603.905,93.439,21.835,14.308,0.0,0.0,2.511,19.793,107.893,15.142,33.437,66.435,,2016-jul,11,Seco,Feria de las Flores
2016,2,8.0,agosto,2016-sem II,632.106,99.241,21.634,14.621,0.0,0.0,2.202,23.054,118.404,15.925,36.284,70.124,,2016-ago,12,Seco,Feria de las Flores
2016,2,9.0,septiembre,2016-sem II,637.35,98.099,21.509,14.878,0.0,0.0,1.387,23.866,117.803,15.972,36.275,71.338,,2016-sep,13,Lluvia,Feria de la Antioquenidad
2016,2,10.0,octubre,2016-sem II,644.022,99.065,22.008,15.075,0.0,0.0,1.944,24.991,118.794,15.884,36.288,71.196,,2016-oct,14,Lluvia,Ningun evento importante
2016,2,11.0,noviembre,2016-sem II,656.196,99.804,21.826,15.132,4.0,0.0,1.714,25.577,119.47,16.007,36.145,70.556,,2016-nov,15,Lluvia,Alumbrados Navidenos
2016,2,12.0,diciembre,2016-sem II,651.263,92.968,23.477,15.313,1.316,0.0,3.204,26.062,108.73,15.173,32.279,61.315,,2016-dic,16,Seco,Navidad y Alumbrados
2017,1,1.0,enero,2017-sem I,576.995,86.878,22.216,14.193,1.556,0.0,4.298,26.195,102.58,14.481,31.295,58.932,,2017-ene,17,Seco,Vacaciones
2017,1,2.0,febrero,2017-sem I,651.797,99.513,21.834,14.933,1.821,0.0,1.721,32.047,122.349,16.671,36.669,67.466,,2017-feb,18,Seco,Ningun evento importante
2017,1,3.0,marzo,2017-sem I,669.201,103.082,21.691,15.259,1.945,0.0,1.332,33.751,124.203,16.931,37.983,68.921,,2017-mar,19,Lluvia,Ningun evento importante
2017,1,4.0,abril,2017-sem I,645.689,98.671,21.779,15.237,1.914,0.0,2.001,33.307,119.098,16.278,36.715,66.905,,2017-abr,20,Lluvia,Ningun evento importante
